"id","age","block_num","absent","high_prob","lp_1","lp_2","lp_3","low_prob","difference"
14,"adult",1,966.09127937931,1026.06582644444,1173.160076,1009.051919,1072.362423,1084.85813933333,58.792312888889
14,"adult",2,769.994258896552,895.054290263158,1169.448932,1019.85812166667,922.960758,1037.42260388889,142.368313625731
14,"adult",3,763.323890724138,823.45825425,949.2385985,1061.65212375,664.243102,891.71127475,68.2530205
14,"adult",4,709.225761310345,842.8425431,1141.01523175,876.91688575,820.5555675,946.162561666667,103.320018566667
14,"adult",5,714.44412762069,776.7305493,788.5222435,757.349074,814.833045,786.901454166667,10.1709048666667
14,"adult",6,651.508053266667,692.735408473684,1003.559192,719.97249125,919.772983,881.101555416667,188.366146942982
15,"adult",1,827.290194392857,1097.33202573684,1148.28974025,878.7662985,836.9537595,954.66993275,-142.662092986842
15,"adult",2,826.872317066667,960.12295485,1011.86728475,1064.4351245,859.324336,978.542248416667,18.4192935666666
15,"adult",3,765.871405633333,795.876873888889,1218.10174,944.96697175,1304.143071,1155.73726091667,359.860387027778
15,"adult",4,699.804454068965,765.65639965,978.86675625,956.13622675,1094.56563,1009.85620433333,244.199804683333
15,"adult",5,772.954583166667,992.754296368421,893.138170333333,825.47438175,1077.1011115,931.904554527778,-60.8497418406433
15,"adult",6,779.379835814815,1005.90380857895,1073.14181333333,981.140137,1501.815438,1185.36579611111,179.461987532164
16,"adult",1,1206.62832265517,1298.00710675,1331.71302075,1225.81475975,1275.5368945,1277.688225,-20.3188817499999
16,"adult",2,1050.26946244444,1401.59943105,1358.37847,1533.788681,1223.5053775,1371.89084283333,-29.7085882166666
16,"adult",3,989.4839525,1194.9977345,1262.41713775,972.38409525,1038.7994055,1091.20021283333,-103.797521666667
16,"adult",4,986.009465222222,1257.74181594118,1087.68057833333,1069.29715466667,1554.289341,1237.08902466667,-20.6527912745096
16,"adult",5,877.876488366667,973.3618975,1221.75133225,1201.685667,1071.1909535,1164.87598425,191.51408675
16,"adult",6,899.933020233333,917.8466678,1144.587159,1118.40468625,1614.676714,1292.55618641667,374.709518616667
18,"adult",1,786.205927481481,937.15779785,702.61716825,1057.05654625,928.907394,896.193702833333,-40.9640950166665
18,"adult",2,876.747498192308,1020.666629,1205.39943366667,1257.64791166667,1238.4021285,1233.81649127778,213.149862277778
18,"adult",3,891.318730035714,897.80595305,875.75572725,1587.39550933333,1025.4787205,1162.87665236111,265.070699311111
18,"adult",4,816.781711566667,965.462270526316,808.1876635,1157.3601365,943.0645705,969.537456833333,4.07518630701747
18,"adult",5,788.9500221,856.176941052632,1019.035101,813.3309485,613.1275895,815.164546333333,-41.0123947192982
18,"adult",6,747.362728862069,776.852621,635.763645,810.53829175,613.7776375,686.693191416667,-90.1594295833333
19,"adult",1,865.700324407407,850.748754761905,885.887861333333,1150.61604975,735.023975,923.842628694444,73.0938739325396
19,"adult",2,869.953870807692,816.006938666667,809.460401333333,1285.4729895,743.710279,946.214556611111,130.207617944444
19,"adult",3,682.490544607143,707.7042699,739.7978305,738.40791,731.393695,736.533145166667,28.8288752666667
19,"adult",4,768.349705034483,746.352409,695.220709,740.19986375,720.3423975,718.58765675,-27.7647522499999
19,"adult",5,701.884729428571,712.029658,765.024662,672.969103,680.7574035,706.2503895,-5.77926850000006
19,"adult",6,702.066980586207,693.377914904762,945.783535666667,789.7651195,654.185295,796.577983388889,103.200068484127
20,"adult",1,738.510308481482,860.943966388889,853.22743675,835.8296155,870.824456,853.293836083333,-7.65013030555554
20,"adult",2,694.651271678571,786.35201455,867.00862625,789.4412875,NA,828.224956875,41.8729423250001
20,"adult",3,603.356279137931,724.9301434,781.45825875,821.6303585,690.6222105,764.570275916667,39.6401325166667
20,"adult",4,582.973681961538,624.8104453,878.69811075,612.171948,699.658036,730.176031583333,105.365586283333
20,"adult",5,557.546981133333,586.268111210526,634.14681,609.789689333333,507.709146,583.881881777778,-2.38622943274845
20,"adult",6,570.017805423077,584.868557294118,676.761944666667,614.607572666667,718.134284,669.834600444444,84.9660431503268
21,"adult",1,1381.35795403846,1775.62069886667,1427.3622035,1181.3811065,NA,1304.371655,-471.249043866667
21,"adult",2,1263.49163061538,1434.43895875,1705.74005433333,1619.2483305,NA,1662.49419241667,228.055233666667
21,"adult",3,1246.93782575862,1203.17597947059,1570.33260633333,1306.969762,886.342287,1254.54821844444,51.3722389738564
21,"adult",4,1031.6273292,1062.02575894444,1618.762791,1062.08288675,1656.459451,1445.76837625,383.742617305555
21,"adult",5,951.9097805,1297.5580841875,1506.78402175,1082.998514,1885.8585355,1491.88035708333,194.322272895833
21,"adult",6,929.016637766667,1173.45493366667,1407.71251925,1401.7305375,1056.0821295,1288.50839541667,115.05346175
22,"adult",1,1358.29394196429,1506.67354475,1861.591816,2201.132536,1520.422697,1861.04901633333,354.375471583333
22,"adult",2,1340.30953327273,1617.2845959375,NA,1724.9292135,1034.959555,1379.94438425,-237.3402116875
22,"adult",3,1151.60859081481,1237.5185609,1522.528887,1696.352243,1306.0014245,1508.29418483333,270.775623933333
22,"adult",4,1099.00066765517,1149.67006794118,1349.3281605,1373.1277585,1457.3568105,1393.27090983333,243.600841892157
22,"adult",5,1006.08233748276,1227.50335277778,1184.496323,1361.01067075,781.589746,1109.03224658333,-118.471106194444
22,"adult",6,939.087999275862,952.0515322,1067.05276166667,1566.978991,893.5880665,1175.87327305556,223.821740855556
23,"adult",1,1330.07538727586,1523.654938,1637.69161133333,1777.54680333333,1505.3489205,1640.19577838889,116.540840388889
