id,age,block_num,absent,high_prob,lp_1,lp_2,lp_3,low_prob,difference,hp_norm,lp_norm,diff_norm
21,adult,5,951.9097805,1713.210273,1506.784022,2355.175197,1885.858536,1915.939251,202.7289786,1.094698153,1.224236857,-0.129538704
21,adult,6,929.0166378,1367.681122,1407.712519,1401.730538,1056.08213,1288.508395,-79.17272638,0.873913741,0.823324366,0.050589375
22,adult,1,1355.114595,1566.535155,1915.424586,2023.642778,1193.314195,1710.793853,144.2586978,1.140413827,1.24543197,-0.105018143
22,adult,2,1731.617316,1737.75741,2733.679374,1818.444133,1034.959555,1862.361021,124.6036103,1.265061031,1.355770569,-0.090709538
22,adult,3,1169.821954,1212.344726,1522.528887,1935.076416,1306.001425,1587.868909,375.524183,0.882568568,1.155944476,-0.273375908
22,adult,4,1150.946085,1345.469691,1621.722063,1373.127759,1457.356811,1484.068877,138.5991867,0.979481522,1.080379628,-0.100898105
22,adult,5,1072.673488,1324.544577,1184.496323,1361.010671,1216.656804,1254.054599,-70.48997818,0.964248357,0.912932723,0.051315635
22,adult,6,1005.84747,978.1015032,1067.052762,1566.978991,893.5880665,1175.873273,197.7717698,0.712043055,0.856017903,-0.143974848
23,adult,1,1370.278025,2117.519617,1815.380791,1777.546803,1505.348921,1699.425505,-418.0941121,1.357150348,1.089187509,0.26796284
23,adult,2,1660.202813,1893.773675,1395.820421,1916.442235,1647.778392,1653.347016,-240.4266586,1.21374819,1.059655108,0.154093082
23,adult,3,1666.707468,1869.891882,1766.905722,2404.389938,2435.19485,2202.163503,332.2716213,1.198441988,1.411399895,-0.212957907
23,adult,4,1080.391518,1255.601645,1290.037539,1136.609872,1892.63928,1439.76223,184.1605857,0.804734084,0.922765389,-0.118031305
23,adult,5,1114.041177,1409.044147,1370.435352,978.3353807,1017.650366,1122.140366,-286.9037805,0.903077704,0.719196732,0.183880972
23,adult,6,1107.89938,1861.088872,1177.58923,1126.385927,2380.710721,1561.561959,-299.5269126,1.192800006,1.000828677,0.191971328
24,adult,1,923.6896197,839.541316,885.64512,800.184091,872.58482,852.804677,13.26336099,0.91383421,0.928271275,-0.014437066
24,adult,2,755.9174776,1775.065422,871.0524726,1298.744281,827.7779815,999.1915785,-775.8738435,1.932144941,1.087612282,0.84453266
24,adult,3,862.721014,852.4870875,892.8202028,900.4279773,1078.846693,957.3649577,104.8778702,0.927925581,1.04208433,-0.114158748
24,adult,4,880.2037637,759.813547,1050.10892,875.0267823,1002.915978,976.0172267,216.2036797,0.827051152,1.06238718,-0.235336028
24,adult,5,807.4713071,898.970962,932.1928958,842.3889477,1062.016607,945.5328166,46.56185465,0.978522918,1.029205136,-0.050682218
24,adult,6,776.0439078,822.51668,780.2311545,757.43858,1016.16776,851.2791648,28.76248484,0.895303025,0.926610767,-0.031307742
25,adult,1,1211.809397,1386.449945,1362.705171,1229.141057,1856.794119,1482.880116,96.43017063,1.095951548,1.172177015,-0.076225467
25,adult,2,1221.551196,1494.788086,1334.426165,1185.495079,1333.241105,1284.387449,-210.400637,1.181589947,1.015273879,0.166316068
25,adult,3,1335.171056,1820.732915,1272.21626,1930.920243,1261.762619,1488.299708,-332.4332079,1.439240605,1.176461057,0.262779547
25,adult,4,1101.505669,1266.429961,967.5115348,1337.872803,1321.614027,1208.999455,-57.43050565,1.001078965,0.955681688,0.045397277
25,adult,5,1005.07625,1018.989754,1069.342971,1083.960474,1373.699546,1175.667663,156.6779096,0.805484109,0.9293338,-0.123849691
25,adult,6,1008.128858,1145.933807,1057.114601,1196.875453,1089.094401,1114.361485,-31.57232217,0.905829983,0.880872908,0.024957075
26,child,1,1251.512146,1724.367976,1833.387614,1639.303744,2151.51918,1874.736846,150.3688694,2.079099831,2.260404863,-0.181305032
26,child,2,1599.454443,1793.008626,1728.651583,1257.802725,1152.619958,1379.691422,-413.3172038,2.161861031,1.663519446,0.498341585
26,child,3,1617.342703,1808.556044,1638.295353,1555.935264,2446.374417,1880.201678,71.64563325,2.180606818,2.266993912,-0.086387093
26,child,4,0,0,0,0,0,0,0,0,0,0
26,child,5,0,0,0,0,0,0,0,0,0,0
26,child,6,0,0,0,0,0,0,0,0,0,0
52,child,1,2352.662706,1953.459502,2334.259666,1977.724155,2090.869069,2134.284296,180.8247949,1.093966289,1.195230856,-0.101264567
52,child,2,1899.040691,1668.258787,2462.649045,3245.994012,2986.537814,2898.393623,1230.134837,0.934249659,1.62314341,-0.688893751
52,child,3,1764.782166,1244.116068,1722.426808,1788.261493,1779.198647,1763.295649,519.1795818,0.696723447,0.987471712,-0.290748265
52,child,4,1848.325729,2075.483203,1727.077443,1802.169005,1975.737333,1834.994594,-240.4886093,1.162301371,1.027624184,0.134677187
52,child,5,1481.625756,1494.804978,1803.943738,3031.241099,1480.536342,2105.240393,610.4354149,0.837112954,1.178965839,-0.341852885
52,child,6,1331.026491,983.742237,1264.552241,1433.031559,1227.811814,1308.465204,324.7229674,0.550910241,0.732759918,-0.181849677
53,child,1,2187.995426,2488.095546,2925.970197,2744.424164,1945.358992,2538.584451,50.48890505,1.197337252,1.221633846,-0.024296594
53,child,2,2364.002776,2131.849837,2102.386892,2968.844295,1659.400821,2243.544002,111.6941651,1.025902414,1.079652594,-0.053750181
53,child,3,2284.869083,2167.073619,1966.259658,3120.947003,2768.37337,2618.526677,451.4530578,1.042853027,1.260104155,-0.217251128
