"id","relative_hp_dist","value"
14,"high_prob",840.498414525862
15,"high_prob",936.218985243478
16,"high_prob",1171.37280133913
18,"high_prob",907.361011428571
19,"high_prob",754.051946016949
20,"high_prob",695.620202166667
21,"high_prob",1310.38907288
22,"high_prob",1265.55311792523
23,"high_prob",1559.2059373
24,"high_prob",910.367835818182
25,"high_prob",1259.44559574545
101,"high_prob",1149.62694854545
102,"high_prob",1491.31517621978
103,"high_prob",1311.7203227037
104,"high_prob",1547.60283609574
105,"high_prob",1591.63401421053
106,"high_prob",933.369862594828
107,"high_prob",886.143329694215
109,"high_prob",1071.70817285841
110,"high_prob",1146.13930453043
111,"high_prob",789.038692786325
112,"high_prob",930.290135836207
113,"high_prob",840.135475037037
114,"high_prob",1063.4805918
115,"high_prob",1073.78007152459
116,"high_prob",802.226011312
117,"high_prob",1443.29841776238
14,"absent",761.797381817143
15,"absent",778.578502034483
16,"absent",999.945411774566
18,"absent",816.619944605882
19,"absent",762.858089556886
20,"absent",624.04538636747
21,"absent",1124.58420217544
22,"absent",1139.59409260366
23,"absent",1209.64718144379
24,"absent",804.77553983815
25,"absent",1099.75303190698
101,"absent",794.756887953216
102,"absent",1258.22617348795
103,"absent",1220.43903197041
104,"absent",1430.87727276875
105,"absent",1502.23221775429
106,"absent",907.441129517442
107,"absent",858.860923
109,"absent",897.97236752907
110,"absent",930.30132034104
111,"absent",693.358552
112,"absent",896.540523948276
113,"absent",761.380723155172
114,"absent",868.637082218391
115,"absent",914.477575857143
116,"absent",800.218935084746
117,"absent",1332.60960643949
14,"low_prob",928.753330156126
15,"low_prob",1038.15693665025
16,"low_prob",1243.04775166184
18,"low_prob",947.60211487987
19,"low_prob",792.290072331016
20,"low_prob",740.502501150794
21,"low_prob",1405.476284
22,"low_prob",1342.20363067917
23,"low_prob",1425.96934797674
24,"low_prob",894.357886443137
25,"low_prob",1257.72846432828
101,"low_prob",1019.78399530669
102,"low_prob",1580.75571764298
103,"low_prob",1340.19752380532
104,"low_prob",1524.19872228687
105,"low_prob",1513.5516334742
106,"low_prob",1063.35072930072
107,"low_prob",996.288607209951
109,"low_prob",1073.01854930873
110,"low_prob",1082.13217265152
111,"low_prob",855.515631217391
112,"low_prob",947.752615302899
113,"low_prob",918.343721295455
114,"low_prob",1188.56907993142
115,"low_prob",1140.29797975617
116,"low_prob",801.707531418372
117,"low_prob",1461.78137340404
