"id","age","relative_hp_dist","rt","block_num"
14,"adult","absent",924.415112,3
14,"adult","absent",720.223904,3
14,"adult","high_prob",771.138668,3
14,"adult","high_prob",985.692739,3
14,"adult","absent",1004.974127,3
14,"adult","absent",727.523565,3
14,"adult","absent",601.649046,3
14,"adult","high_prob",784.302711,3
14,"adult","absent",688.395739,3
14,"adult","absent",997.8652,3
14,"adult","absent",1035.865068,3
14,"adult","high_prob",743.209839,4
14,"adult","high_prob",983.092785,4
14,"adult","lp_2",867.014647,4
14,"adult","high_prob",617.822647,4
14,"adult","lp_3",808.984756,4
14,"adult","absent",1185.603142,4
14,"adult","absent",584.643841,4
14,"adult","high_prob",659.145355,4
14,"adult","absent",594.848871,4
14,"adult","high_prob",834.354639,4
14,"adult","absent",743.311882,4
14,"adult","lp_1",921.517134,4
14,"adult","lp_1",1098.21558,4
14,"adult","absent",605.699539,4
14,"adult","high_prob",1078.660011,4
14,"adult","absent",646.143198,4
14,"adult","absent",663.744926,4
14,"adult","absent",849.599123,4
14,"adult","high_prob",1047.530413,4
14,"adult","absent",659.806967,4
14,"adult","absent",657.177448,4
14,"adult","lp_2",793.237925,4
14,"adult","absent",697.217464,4
14,"adult","absent",604.76923,4
14,"adult","lp_1",1056.23889,4
14,"adult","high_prob",695.705891,4
14,"adult","high_prob",716.078281,4
14,"adult","lp_3",832.126379,4
14,"adult","absent",646.315098,4
14,"adult","high_prob",840.755463,4
14,"adult","lp_2",563.129187,4
14,"adult","high_prob",651.074409,4
14,"adult","absent",853.927135,4
14,"adult","absent",604.349613,4
14,"adult","absent",857.243061,4
14,"adult","absent",672.856092,4
14,"adult","absent",573.46487,4
14,"adult","absent",744.712353,4
14,"adult","high_prob",937.332869,4
14,"adult","high_prob",836.756229,4
14,"adult","high_prob",834.081888,4
14,"adult","lp_2",1284.285784,4
14,"adult","high_prob",788.50317,4
14,"adult","absent",717.993259,4
14,"adult","high_prob",1099.649191,4
14,"adult","absent",702.419996,4
14,"adult","high_prob",745.028496,4
14,"adult","absent",577.516794,4
14,"adult","absent",841.71319,4
14,"adult","high_prob",846.385479,4
14,"adult","high_prob",853.7817,4
14,"adult","absent",836.470842,4
14,"adult","absent",806.289434,4
14,"adult","lp_1",1488.089323,4
14,"adult","absent",627.330303,4
14,"adult","absent",621.4118,4
14,"adult","high_prob",1047.902107,4
14,"adult","absent",697.617769,4
14,"adult","absent",693.349838,4
14,"adult","high_prob",949.694395,5
14,"adult","high_prob",819.415808,5
14,"adult","absent",598.266125,5
14,"adult","absent",750.982761,5
14,"adult","absent",698.209763,5
14,"adult","high_prob",1276.330709,5
14,"adult","absent",707.640171,5
14,"adult","absent",732.818127,5
14,"adult","high_prob",867.32316,5
14,"adult","lp_1",898.531914,5
14,"adult","absent",675.709963,5
14,"adult","absent",541.623831,5
14,"adult","absent",969.456673,5
14,"adult","high_prob",640.108585,5
14,"adult","high_prob",704.208374,5
14,"adult","absent",681.641102,5
14,"adult","absent",515.497446,5
14,"adult","absent",756.422043,5
14,"adult","high_prob",762.463093,5
14,"adult","lp_1",745.312214,5
14,"adult","high_prob",763.204336,5
14,"adult","absent",593.41383,5
14,"adult","high_prob",716.458797,5
14,"adult","high_prob",521.960735,5
14,"adult","absent",522.188663,5
14,"adult","absent",547.829628,5
14,"adult","lp_1",755.295992,5
14,"adult","high_prob",1028.67794,5
14,"adult","lp_3",733.03628,5
14,"adult","absent",661.807775,5
14,"adult","high_prob",717.484713,5
14,"adult","high_prob",763.353825,5
14,"adult","lp_3",896.62981,5
14,"adult","high_prob",668.476343,5
14,"adult","high_prob",667.541504,5
14,"adult","lp_2",613.277197,5
14,"adult","lp_2",695.21904,5
14,"adult","absent",798.415899,5
14,"adult","absent",735.417128,5
14,"adult","high_prob",830.161095,5
14,"adult","high_prob",713.944912,5
14,"adult","lp_1",754.948854,5
14,"adult","absent",1032.911777,5
14,"adult","absent",1102.392197,5
14,"adult","high_prob",584.578753,5
14,"adult","lp_2",869.086027,5
14,"adult","absent",748.10791,5
14,"adult","absent",812.221766,5
14,"adult","absent",808.415413,5
14,"adult","absent",849.612713,5
14,"adult","absent",772.040367,5
14,"adult","absent",602.720976,5
14,"adult","high_prob",890.647888,5
